,true_value
2011-07-29,0.0
2011-07-30,0.0
2011-07-31,0.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-03,0.0
2011-08-04,0.0
2011-08-05,0.0
2011-08-06,0.0
2011-08-07,0.0
2011-08-08,0.0
2011-08-09,0.0
2011-08-10,0.0
2011-08-11,0.0
2011-08-12,0.0
2011-08-13,0.0
2011-08-14,0.0
2011-08-15,0.0
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,0.0
2011-08-19,0.0
2011-08-20,0.0
2011-08-21,0.0
2011-08-22,0.0
2011-08-23,0.0
2011-08-24,0.0
2011-08-25,0.0
2011-08-26,0.0
2011-08-27,0.0
2011-08-28,0.0
2011-08-29,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-03,0.0
2011-09-04,0.0
2011-09-05,0.0
2011-09-06,0.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-10,0.0
2011-09-11,0.0
2011-09-12,0.0
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-17,0.0
2011-09-18,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,0.0
2011-09-23,0.0
2011-09-24,0.0
2011-09-25,0.0
2011-09-26,0.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,0.0
2011-10-08,0.0
2011-10-09,0.0
2011-10-10,0.0
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,8.262052
2011-10-14,6.259466
2011-10-15,4.622894
2011-10-16,0.0
2011-10-17,4.023361
2011-10-18,15.474944
2011-10-19,6.762254
2011-10-20,6.073878
2011-10-21,27.647797
2011-10-22,0.0
2011-10-23,0.0
2011-10-24,10.639516
2011-10-25,16.928946
2011-10-26,9.505879
2011-10-27,17.094515
2011-10-28,21.57965
2011-10-29,0.0
2011-10-30,0.0
2011-10-31,11.499884
2011-11-01,18.721506
2011-11-02,4.813569
2011-11-03,15.799759
2011-11-04,19.01498
2011-11-05,0.0
2011-11-06,18.327682
2011-11-07,2.722236
2011-11-08,1.982183
2011-11-09,15.387816
2011-11-10,21.347801
2011-11-11,10.22012
2011-11-12,7.075383
2011-11-13,17.8114
2011-11-14,6.55278
2011-11-15,8.546498
2011-11-16,8.550167
2011-11-17,0.0
2011-11-18,15.941258
2011-11-19,0.0
2011-11-20,8.441506
2011-11-21,19.505018
2011-11-22,3.456071
2011-11-23,8.2719
2011-11-24,0.0
2011-11-25,0.0
2011-11-26,12.887512
2011-11-27,0.0
2011-11-28,10.453174
2011-11-29,11.038736
2011-11-30,19.080433
2011-12-01,12.501263
2011-12-02,22.79975
2011-12-03,0.0
2011-12-04,3.278953
2011-12-05,13.17617
2011-12-06,18.295652
2011-12-07,18.4842
2011-12-08,7.305709
2011-12-09,11.312962
2011-12-10,8.178254
2011-12-11,8.139627
2011-12-12,17.994865
2011-12-13,24.793892
2011-12-14,10.704819
2011-12-15,4.268886
2011-12-16,0.0
2011-12-17,15.910392
2011-12-18,0.0
2011-12-19,2.165911
2011-12-20,2.520405
2011-12-21,7.240505
2011-12-22,8.193753
2011-12-23,9.039984
2011-12-24,10.182566
2011-12-25,0.0
2011-12-26,9.796748
2011-12-27,0.0
2011-12-28,7.685862
2011-12-29,0.0
2011-12-30,15.815318
2011-12-31,5.756423
2012-01-01,0.0
2012-01-02,0.0
2012-01-03,2.349923
2012-01-04,13.340365
2012-01-05,3.401787
2012-01-06,5.565489
2012-01-07,5.730107
2012-01-08,14.252575
2012-01-09,14.722841
2012-01-10,10.580201
2012-01-11,16.509586
2012-01-12,14.221469
2012-01-13,33.67284
2012-01-14,18.240778
2012-01-15,5.136543
2012-01-16,0.0
2012-01-17,4.64475
2012-01-18,12.32192
2012-01-19,11.764094
2012-01-20,26.634567
2012-01-21,10.844376
2012-01-22,0.0
2012-01-23,6.281987
2012-01-24,8.258713
2012-01-25,15.974336
2012-01-26,13.966112
2012-01-27,13.240064
2012-01-28,0.0
2012-01-29,10.912305
2012-01-30,12.770063
2012-01-31,0.0
2012-02-01,26.408817
2012-02-02,6.671606
2012-02-03,21.951845
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,1.86881
2012-02-07,3.233676
2012-02-08,35.668556
2012-02-09,15.661001
2012-02-10,9.04176
2012-02-11,0.0
2012-02-12,5.318869
2012-02-13,11.292391
2012-02-14,13.617849
2012-02-15,17.345036
2012-02-16,21.379913
2012-02-17,4.689495
2012-02-18,6.077813
2012-02-19,5.270363
2012-02-20,10.672216
2012-02-21,7.202786
2012-02-22,17.180763
2012-02-23,8.136272
2012-02-24,24.108644
2012-02-25,6.022845
2012-02-26,10.353363
2012-02-27,28.098171
2012-02-28,18.413698
2012-02-29,19.858746
2012-03-01,22.23416
2012-03-02,14.838993
2012-03-03,7.381566
2012-03-04,0.0
2012-03-05,11.33969
2012-03-06,21.744596
2012-03-07,18.395588
2012-03-08,16.075409
2012-03-09,10.095444
2012-03-10,14.673207
2012-03-11,9.290657
2012-03-12,38.366817
2012-03-13,26.919117
2012-03-14,3.538974
2012-03-15,16.227558
2012-03-16,23.228819
2012-03-17,12.902377
2012-03-18,5.058076
2012-03-19,12.877544
2012-03-20,29.547892
2012-03-21,24.81574
2012-03-22,15.57168
2012-03-23,9.308538
2012-03-24,13.506574
2012-03-25,7.663785
2012-03-26,9.830795
2012-03-27,11.066097
2012-03-28,24.825327
2012-03-29,15.368515
2012-03-30,23.95717
2012-03-31,26.140413
2012-04-01,7.107832
2012-04-02,14.11862
2012-04-03,35.178604
2012-04-04,43.188416
2012-04-05,17.29364
2012-04-06,32.06673
2012-04-07,27.573105
2012-04-08,18.384995
2012-04-09,25.819178
2012-04-10,18.25543
2012-04-11,8.094978
2012-04-12,21.097265
2012-04-13,49.582577
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,29.251541
2012-04-17,31.292513
2012-04-18,22.300339
2012-04-19,24.419935
2012-04-20,23.386578
2012-04-21,6.649808
2012-04-22,20.805735
2012-04-23,6.425147
2012-04-24,30.88738
2012-04-25,20.865976
2012-04-26,23.156149
2012-04-27,11.768186
2012-04-28,6.125125
2012-04-29,7.853112
2012-04-30,36.95911
2012-05-01,56.949093
2012-05-02,20.345968
2012-05-03,36.00635
2012-05-04,38.655563
2012-05-05,24.094034
2012-05-06,9.514155
2012-05-07,35.56283
2012-05-08,36.813065
2012-05-09,20.66901
2012-05-10,36.59716
2012-05-11,28.428839
2012-05-12,6.084821
2012-05-13,5.298706
2012-05-14,28.200706
2012-05-15,34.023396
2012-05-16,37.66374
2012-05-17,25.072779
2012-05-18,23.371597
2012-05-19,6.288818
2012-05-20,0.0
2012-05-21,17.523268
2012-05-22,29.660875
2012-05-23,30.986326
2012-05-24,26.339727
2012-05-25,42.45264
2012-05-26,18.813122
2012-05-27,10.250339
2012-05-28,20.149633
2012-05-29,26.665037
2012-05-30,33.628532
2012-05-31,33.64533
2012-06-01,25.077349
2012-06-02,18.141403
2012-06-03,27.24975
2012-06-04,18.516989
2012-06-05,24.91203
2012-06-06,36.54958
2012-06-07,41.43404
2012-06-08,17.182764
2012-06-09,6.36528
2012-06-10,21.95406
2012-06-11,16.719782
2012-06-12,25.012209
2012-06-13,10.977928
2012-06-14,30.482992
2012-06-15,41.82933
2012-06-16,26.723703
2012-06-17,27.344395
2012-06-18,17.00767
2012-06-19,17.903433
2012-06-20,14.023706
2012-06-21,32.622856
2012-06-22,14.458096
2012-06-23,4.449414
2012-06-24,0.0
2012-06-25,16.649446
2012-06-26,22.628822
2012-06-27,25.743372
2012-06-28,20.506336
2012-06-29,17.415615
2012-06-30,19.946367
2012-07-01,3.199486
2012-07-02,17.449652
2012-07-03,11.638669
2012-07-04,21.806744
2012-07-05,29.292372
2012-07-06,40.461823
2012-07-07,1.415532
2012-07-08,15.675869
2012-07-09,41.56874
2012-07-10,17.198612
2012-07-11,30.28378
2012-07-12,22.721212
2012-07-13,25.018503
2012-07-14,22.061245
2012-07-15,0.0
2012-07-16,43.606228
2012-07-17,17.437902
2012-07-18,26.952114
2012-07-19,47.231045
2012-07-20,33.62734
2012-07-21,24.244307
2012-07-22,17.466902
2012-07-23,27.175035
2012-07-24,34.35855
2012-07-25,11.811257
2012-07-26,10.606751
2012-07-27,35.821495
2012-07-28,4.983945
2012-07-29,14.672645
2012-07-30,11.452301
2012-07-31,24.117579
2012-08-01,44.435986
2012-08-02,17.78493
2012-08-03,25.582718
2012-08-04,3.052174
2012-08-05,7.474788
2012-08-06,8.866494
2012-08-07,36.89558
2012-08-08,31.81469
2012-08-09,18.564573
2012-08-10,29.450674
2012-08-11,10.529422
2012-08-12,10.776076
2012-08-13,31.598783
2012-08-14,50.076115
2012-08-15,22.269321
2012-08-16,22.599058
2012-08-17,19.966997
2012-08-18,12.47477
2012-08-19,0.0
2012-08-20,29.651625
2012-08-21,17.565056
2012-08-22,19.389769
2012-08-23,36.07705
2012-08-24,26.708975
2012-08-25,12.635672
2012-08-26,4.849895
2012-08-27,41.240948
2012-08-28,25.292852
2012-08-29,29.981377
2012-08-30,42.38534
2012-08-31,22.899992
2012-09-01,6.670723
2012-09-02,12.28744
2012-09-03,8.952549
2012-09-04,21.445095
2012-09-05,42.86467
2012-09-06,13.530971
2012-09-07,22.876585
2012-09-08,7.517551
2012-09-09,12.364516
2012-09-10,32.99025
2012-09-11,36.437492
2012-09-12,17.524446
2012-09-13,26.407894
2012-09-14,34.525867
2012-09-15,19.192595
2012-09-16,7.645814
2012-09-17,21.826048
2012-09-18,47.633507
2012-09-19,18.048372
2012-09-20,32.154694
2012-09-21,32.38562
2012-09-22,16.84242
2012-09-23,17.35763
2012-09-24,40.947178
2012-09-25,10.438544
2012-09-26,12.318811
2012-09-27,35.34733
2012-09-28,32.133633
2012-09-29,12.309582
2012-09-30,19.493177
2012-10-01,30.58323
2012-10-02,27.208551
2012-10-03,24.442434
2012-10-04,30.265297
2012-10-05,56.821884
2012-10-06,4.189432
2012-10-07,17.499792
2012-10-08,29.164104
2012-10-09,42.057247
2012-10-10,26.512535
2012-10-11,30.6219
2012-10-12,20.808163
2012-10-13,17.775625
2012-10-14,13.538931
2012-10-15,17.510153
2012-10-16,26.20663
2012-10-17,19.795094
2012-10-18,14.685546
2012-10-19,8.590624
2012-10-20,26.174067
2012-10-21,0.794564
2012-10-22,21.744879
2012-10-23,24.868057
2012-10-24,30.325975
2012-10-25,27.409292
2012-10-26,43.086903
2012-10-27,23.252188
2012-10-28,16.85222
2012-10-29,44.353283
2012-10-30,18.244131
2012-10-31,27.363358
2012-11-01,26.45627
2012-11-02,35.91044
2012-11-03,28.99038
2012-11-04,4.866874
2012-11-05,41.071606
2012-11-06,23.513885
2012-11-07,49.888374
2012-11-08,45.661533
2012-11-09,42.948063
2012-11-10,40.20968
2012-11-11,0.935619
2012-11-12,21.350876
2012-11-13,12.174682
2012-11-14,29.611464
2012-11-15,47.468857
2012-11-16,37.886494
2012-11-17,22.577782
2012-11-18,9.438752
2012-11-19,42.992928
2012-11-20,48.549423
2012-11-21,22.366234
2012-11-22,0.0
2012-11-23,31.972034
2012-11-24,5.731761
2012-11-25,14.970695
2012-11-26,35.814095
2012-11-27,31.146358
2012-11-28,25.192322
2012-11-29,34.174934
2012-11-30,47.289303
2012-12-01,16.043268
2012-12-02,34.118923
2012-12-03,44.195705
2012-12-04,54.081062
2012-12-05,26.854876
2012-12-06,19.460985
2012-12-07,46.274593
2012-12-08,21.49323
2012-12-09,16.590595
2012-12-10,34.66558
2012-12-11,30.77306
2012-12-12,29.136744
2012-12-13,47.86974
2012-12-14,34.19807
2012-12-15,41.847725
2012-12-16,3.786808
2012-12-17,36.457947
2012-12-18,40.508965
2012-12-19,28.295958
2012-12-20,31.447706
2012-12-21,23.19209
2012-12-22,25.30452
2012-12-23,9.042039
2012-12-24,8.919173
2012-12-25,0.0
2012-12-26,22.457611
2012-12-27,38.481842
2012-12-28,33.0787
2012-12-29,20.271616
2012-12-30,12.430039
2012-12-31,16.79901
2013-01-01,0.0
2013-01-02,72.11947
2013-01-03,46.785538
2013-01-04,46.088436
2013-01-05,18.432693
2013-01-06,24.006264
2013-01-07,49.143692
2013-01-08,20.120165
2013-01-09,35.14208
2013-01-10,33.320156
2013-01-11,31.083763
2013-01-12,40.633686
2013-01-13,91.3659
2013-01-14,38.298138
2013-01-15,38.83842
2013-01-16,56.539642
2013-01-17,58.3462
2013-01-18,50.625137
2013-01-19,17.628092
2013-01-20,23.997297
2013-01-21,28.352304
2013-01-22,51.607098
2013-01-23,72.082214
2013-01-24,34.357826
2013-01-25,48.02354
2013-01-26,35.93038
2013-01-27,41.38092
2013-01-28,42.148277
2013-01-29,20.353058
2013-01-30,47.43006
2013-01-31,28.562485
2013-02-01,53.517532
2013-02-02,18.492151
2013-02-03,8.971189
2013-02-04,68.28849
2013-02-05,49.534977
2013-02-06,51.792034
2013-02-07,36.918053
2013-02-08,53.297485
2013-02-09,16.087027
2013-02-10,71.42746
2013-02-11,53.158154
2013-02-12,41.771473
2013-02-13,47.151035
2013-02-14,21.17517
2013-02-15,49.82869
2013-02-16,14.751673
2013-02-17,3.301732
2013-02-18,45.79171
2013-02-19,59.571915
2013-02-20,55.480694
2013-02-21,62.356674
2013-02-22,35.254097
2013-02-23,38.916897
2013-02-24,25.995861
2013-02-25,38.102142
2013-02-26,48.606327
2013-02-27,63.807716
2013-02-28,40.73437
2013-03-01,43.03821
2013-03-02,31.059437
2013-03-03,6.506518
2013-03-04,43.70456
2013-03-05,30.137487
2013-03-06,33.940716
2013-03-07,43.36496
2013-03-08,36.82254
2013-03-09,11.040709
2013-03-10,5.432656
2013-03-11,59.752888
2013-03-12,41.057964
2013-03-13,42.826168
2013-03-14,52.121536
2013-03-15,62.80636
2013-03-16,23.665909
2013-03-17,7.777619
2013-03-18,43.897408
2013-03-19,37.75545
2013-03-20,45.66022
2013-03-21,44.38044
2013-03-22,75.50474
2013-03-23,17.438519
2013-03-24,3.475832
2013-03-25,0.0
2013-03-26,26.751774
2013-03-27,38.185993
2013-03-28,74.90156
2013-03-29,44.885635
2013-03-30,22.190935
2013-03-31,6.807357
2013-04-01,36.758366
2013-04-02,31.45416
2013-04-03,46.12141
2013-04-04,26.125278
2013-04-05,43.47636
2013-04-06,32.013218
2013-04-07,11.385302
2013-04-08,38.541733
2013-04-09,31.724594
2013-04-10,40.729164
2013-04-11,38.4321
2013-04-12,37.118748
2013-04-13,21.630325
2013-04-14,28.649124
2013-04-15,25.193605
2013-04-16,25.534716
2013-04-17,15.313831
2013-04-18,16.246819
2013-04-19,29.302994
2013-04-20,14.540662
2013-04-21,24.413155
2013-04-22,34.046757
2013-04-23,32.982006
2013-04-24,49.017826
2013-04-25,38.235416
2013-04-26,72.735916
2013-04-27,15.629247
2013-04-28,34.33251
2013-04-29,51.78454
2013-04-30,47.52722
2013-05-01,68.04571
2013-05-02,50.433823
2013-05-03,42.553844
2013-05-04,24.654072
2013-05-05,13.284708
2013-05-06,21.999338
2013-05-07,38.305717
2013-05-08,31.158974
2013-05-09,54.114544
2013-05-10,53.486237
2013-05-11,26.052843
2013-05-12,56.158787
2013-05-13,45.53913
2013-05-14,45.690804
2013-05-15,26.001064
2013-05-16,40.4215
2013-05-17,54.56008
2013-05-18,45.351547
2013-05-19,43.100292
2013-05-20,60.88021
2013-05-21,40.49952
2013-05-22,57.178528
2013-05-23,33.797863
2013-05-24,31.554953
2013-05-25,38.74074
2013-05-26,21.634972
2013-05-27,22.747189
2013-05-28,37.506767
2013-05-29,35.053146
2013-05-30,59.13901
2013-05-31,61.509167
2013-06-01,14.494026
2013-06-02,40.586987
2013-06-03,54.105995
2013-06-04,72.679634
2013-06-05,73.85425
2013-06-06,27.202257
2013-06-07,33.708633
2013-06-08,32.13266
2013-06-09,25.065264
2013-06-10,25.029613
2013-06-11,43.668266
2013-06-12,41.823956
2013-06-13,48.121674
2013-06-14,40.456486
2013-06-15,19.155952
2013-06-16,52.749626
2013-06-17,32.723774
2013-06-18,37.21764
2013-06-19,35.01646
2013-06-20,42.150417
2013-06-21,46.249744
2013-06-22,15.971071
2013-06-23,20.904558
2013-06-24,38.309074
2013-06-25,33.945194
2013-06-26,43.860806
2013-06-27,40.29903
2013-06-28,45.876217
2013-06-29,35.23308
2013-06-30,43.165264
2013-07-01,40.72773
2013-07-02,27.29742
2013-07-03,32.73711
2013-07-04,22.305595
2013-07-05,23.861769
2013-07-06,16.046732
2013-07-07,34.614975
2013-07-08,34.03385
2013-07-09,67.20217
2013-07-10,38.12206
2013-07-11,28.13437
2013-07-12,76.18597
2013-07-13,22.797293
2013-07-14,43.5586
2013-07-15,44.1093
2013-07-16,55.75854
2013-07-17,43.753952
2013-07-18,53.109695
2013-07-19,52.335396
2013-07-20,32.4626
2013-07-21,43.65041
2013-07-22,54.837845
2013-07-23,21.808775
2013-07-24,52.76561
2013-07-25,43.309635
2013-07-26,40.727325
2013-07-27,35.02437
2013-07-28,9.438468
2013-07-29,25.969604
2013-07-30,31.157717
2013-07-31,48.679897
2013-08-01,51.0699
2013-08-02,48.017117
2013-08-03,44.374886
2013-08-04,4.354215
2013-08-05,38.907314
2013-08-06,56.817616
2013-08-07,39.60825
2013-08-08,42.389812
2013-08-09,40.4054
2013-08-10,17.854433
2013-08-11,25.682295
2013-08-12,101.22051
2013-08-13,21.170557
2013-08-14,50.527023
2013-08-15,61.44804
2013-08-16,51.061985
2013-08-17,15.712618
2013-08-18,29.867678
2013-08-19,43.43571
2013-08-20,42.77831
2013-08-21,64.39689
2013-08-22,142.79045
2013-08-23,46.944935
2013-08-24,46.642326
2013-08-25,38.12431
2013-08-26,55.143032
2013-08-27,21.592884
2013-08-28,43.243286
2013-08-29,39.005558
2013-08-30,56.35945
2013-08-31,35.782913
2013-09-01,21.170599
2013-09-02,26.669386
2013-09-03,63.086708
2013-09-04,39.081036
2013-09-05,69.92367
2013-09-06,65.16014
2013-09-07,17.643354
2013-09-08,52.506786
2013-09-09,52.626083
2013-09-10,73.101685
2013-09-11,73.54706
2013-09-12,47.560574
2013-09-13,47.657337
2013-09-14,24.980228
2013-09-15,0.0
2013-09-16,3.920612
2013-09-17,4.206371
2013-09-18,3.850341
2013-09-19,4.532413
2013-09-20,9.068138
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,3.51992
2013-09-24,4.197319
2013-09-25,5.898316
2013-09-26,0.0
2013-09-27,5.549871
2013-09-28,1.62054
2013-09-29,0.0
2013-09-30,0.023098
2013-10-01,4.189859
2013-10-02,5.31062
2013-10-03,3.001338
2013-10-04,8.982899
2013-10-05,32.41367
2013-10-06,22.341211
2013-10-07,57.750652
2013-10-08,27.97908
2013-10-09,45.93033
2013-10-10,63.09899
2013-10-11,37.07393
2013-10-12,37.825558
2013-10-13,13.898885
2013-10-14,45.078075
2013-10-15,33.921844
2013-10-16,41.664146
2013-10-17,31.986126
2013-10-18,41.754265
2013-10-19,29.754753
2013-10-20,69.029884
2013-10-21,82.97545
2013-10-22,64.00061
2013-10-23,33.00161
2013-10-24,40.723053
2013-10-25,42.926517
2013-10-26,55.927116
2013-10-27,29.637224
2013-10-28,33.79073
2013-10-29,37.699776
2013-10-30,37.47054
2013-10-31,51.040184
2013-11-01,44.98716
2013-11-02,49.725616
2013-11-03,32.29688
2013-11-04,37.59243
2013-11-05,39.80582
2013-11-06,51.798138
2013-11-07,40.48516
2013-11-08,44.52786
2013-11-09,36.078644
2013-11-10,85.19601
2013-11-11,65.291176
2013-11-12,78.74291
2013-11-13,38.106827
2013-11-14,44.661865
2013-11-15,43.499084
2013-11-16,34.323685
2013-11-17,31.847563
